,person:1,person:2,person:3,person:4,person:5,person:6,person:9,bird:12,kite:15,person:66
person:1,0,842,2897,2078,1280,3334,2366,970,1889,3180
person:2,842,0,2059,1248,439,2495,1530,1419,1221,2341
person:3,2897,2059,0,826,1620,438,533,3180,1399,282
person:4,2078,1248,826,0,813,1265,293,2373,756,1107
person:5,1280,439,1620,813,0,2055,1092,1744,941,1902
person:6,3334,2495,438,1265,2055,0,972,3610,1799,161
person:9,2366,1530,533,293,1092,972,0,2662,963,815
bird:12,970,1419,3180,2373,1744,3610,2662,0,1870,3449
kite:15,1889,1221,1399,756,941,1799,963,1870,0,1640
person:66,3180,2341,282,1107,1902,161,815,3449,1640,0
